cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha,humedad_suelo,temperatura_cosecha,proteinas,aceite
soja,1942,1942/1943,Entre RÃ­os,30,La Paz,30070.0,20,12,6,500,26.4,32.1,38.76,18.97
soja,1942,1942/1943,Entre RÃ­os,30,Tala,30091.0,6,0,0,0,15.55,20.1,34.11,19.52
soja,1942,1942/1943,Entre RÃ­os,30,Uruguay,30098.0,2,2,1,500,39.09,21.5,43.88,22.5
soja,1942,1942/1943,Entre RÃ­os,30,Villaguay,30113.0,35,20,8,400,33.25,25.7,37.06,21.4
soja,1942,1942/1943,Misiones,54,ApÃ³stoles,54007.0,1,0,0,0,38.18,19.2,33.16,21.51
soja,1942,1942/1943,Misiones,54,CainguÃ¡s,54014.0,150,150,120,800,36.84,31.2,33.45,19.26
soja,1942,1942/1943,Misiones,54,Candelaria,54021.0,260,260,234,900,27.94,30.5,39.01,21.77
soja,1942,1942/1943,Misiones,54,ConcepciÃ³n,54035.0,15,15,6,400,37.66,17.9,43.75,22.62
soja,1942,1942/1943,Misiones,54,IguazÃº,54063.0,10,7,6,857,12.65,24.3,38.86,23.31
soja,1942,1942/1943,Misiones,54,San Ignacio,54098.0,11,11,9,818,15.88,30.5,43.39,22.42
soja,1942,1942/1943,Misiones,54,San Javier,54105.0,100,100,90,900,11.36,21.7,37.33,21.46
soja,1942,1942/1943,Misiones,54,San Pedro,54112.0,13,13,12,923,19.76,27.7,37.23,22.04
soja,1942,1942/1943,Santa Fe,82,Belgrano,82007.0,235,205,210,1024,21.66,16.0,38.0,20.91
soja,1942,1942/1943,Santa Fe,82,Caseros,82014.0,218,182,86,473,18.14,27.2,40.37,19.36
soja,1942,1942/1943,Santa Fe,82,ConstituciÃ³n,82028.0,550,500,543,1086,34.86,18.1,36.41,23.29
soja,1942,1942/1943,Santa Fe,82,General LÃ³pez,82042.0,1345,997,450,451,20.7,31.6,42.37,21.2
soja,1942,1942/1943,Santa Fe,82,Iriondo,82056.0,37,37,25,676,18.43,22.1,32.35,21.57
soja,1942,1942/1943,Santa Fe,82,Las Colonias,82070.0,5,5,9,1800,26.28,20.6,37.28,23.94
soja,1942,1942/1943,Santa Fe,82,Rosario,82084.0,95,95,90,947,14.23,31.8,38.13,23.91
soja,1942,1942/1943,Santa Fe,82,San JerÃ³nimo,82105.0,15,15,27,1800,34.07,16.0,39.28,21.52
soja,1942,1942/1943,Santa Fe,82,San Lorenzo,82119.0,680,490,390,796,12.24,22.9,35.31,18.2
soja,1943,1943/1944,Buenos Aires,6,Pergamino,6623.0,3,3,2,667,39.61,22.4,37.13,20.38
soja,1943,1943/1944,Buenos Aires,6,Ramallo,6665.0,30,30,60,2000,33.17,20.7,37.81,23.62
soja,1943,1943/1944,Buenos Aires,6,Rojas,6686.0,25,20,50,2500,15.96,33.2,40.24,19.73
soja,1943,1943/1944,Corrientes,18,Esquina,18049.0,10,9,7,778,10.17,30.0,41.28,24.0
soja,1943,1943/1944,Corrientes,18,Goya,18070.0,2,2,2,1000,34.46,16.3,40.85,18.51
soja,1943,1943/1944,Chaco,22,Campo del Cielo,22105.0,2,2,2,1000,31.21,29.3,36.1,21.41
soja,1943,1943/1944,Misiones,54,CainguÃ¡s,54014.0,178,138,193,1399,31.87,25.5,43.99,21.09
soja,1943,1943/1944,Misiones,54,Candelaria,54021.0,68,67,118,1761,33.14,33.0,42.18,19.53
soja,1943,1943/1944,Misiones,54,ConcepciÃ³n,54035.0,15,15,15,1000,12.22,21.3,35.12,23.69
soja,1943,1943/1944,Misiones,54,IguazÃº,54063.0,110,110,110,1000,20.75,26.5,34.34,21.72
soja,1943,1943/1944,Misiones,54,San Ignacio,54098.0,75,65,85,1308,13.48,25.0,35.77,19.38
soja,1943,1943/1944,Misiones,54,San Javier,54105.0,200,183,191,1044,35.89,24.8,37.43,20.3
soja,1943,1943/1944,Misiones,54,San Pedro,54112.0,40,40,40,1000,28.7,24.1,42.21,22.33
soja,1943,1943/1944,Santa Fe,82,ConstituciÃ³n,82028.0,22,22,44,2000,19.93,19.1,41.34,19.79
soja,1943,1943/1944,Santa Fe,82,Las Colonias,82070.0,12,12,21,1750,11.91,30.1,42.21,23.28
soja,1943,1943/1944,Santa Fe,82,Rosario,82084.0,30,27,112,4148,19.33,24.0,35.26,18.99
soja,1943,1943/1944,Santa Fe,82,San JerÃ³nimo,82105.0,15,15,27,1800,19.76,34.2,39.12,19.59
soja,1943,1943/1944,Santa Fe,82,San Lorenzo,82119.0,120,120,94,783,31.89,20.2,35.4,18.87
soja,1944,1944/1945,Corrientes,18,Esquina,18049.0,48,36,29,806,29.13,28.7,33.31,18.63
soja,1944,1944/1945,Corrientes,18,Goya,18070.0,2,2,2,1000,36.62,33.8,40.21,19.8
soja,1944,1944/1945,La Rioja,46,Arauco,46007.0,1,0,0,0,24.17,28.3,33.72,24.0
soja,1944,1944/1945,La Rioja,46,Capital,46014.0,20,0,0,0,13.59,32.4,40.01,18.57
soja,1944,1944/1945,La Rioja,46,Castro Barros,46021.0,6,0,0,0,31.4,31.5,39.78,19.28
soja,1944,1944/1945,La Rioja,46,General Lavalle,46028.0,2,0,0,0,32.82,22.2,41.72,19.63
soja,1944,1944/1945,La Rioja,46,Gobernador Gordillo,46035.0,1,0,0,0,26.84,27.0,33.67,21.71
soja,1944,1944/1945,La Rioja,46,Chilecito,46042.0,3,0,0,0,33.13,18.1,41.4,22.47
soja,1944,1944/1945,La Rioja,46,General Belgrano,46063.0,4,0,0,0,24.81,25.7,43.99,22.51
soja,1944,1944/1945,La Rioja,46,Pelagio B. Luna,46119.0,2,0,0,0,25.68,19.6,42.21,18.05
soja,1944,1944/1945,Misiones,54,ApÃ³stoles,54007.0,20,15,12,800,22.83,29.9,41.02,21.91
soja,1944,1944/1945,Misiones,54,CainguÃ¡s,54014.0,140,105,123,1171,10.76,25.6,39.95,21.78
soja,1944,1944/1945,Misiones,54,Candelaria,54021.0,37,31,32,1032,13.24,23.2,37.06,21.11
soja,1944,1944/1945,Misiones,54,IguazÃº,54063.0,100,90,54,600,10.94,20.4,40.77,20.28
soja,1944,1944/1945,Misiones,54,San Ignacio,54098.0,15,12,14,1167,29.09,35.0,40.69,22.78
soja,1944,1944/1945,Misiones,54,San Javier,54105.0,136,129,131,1016,19.43,16.4,39.58,20.06
soja,1944,1944/1945,Misiones,54,San Pedro,54112.0,50,50,30,600,25.26,15.9,41.56,19.38
soja,1944,1944/1945,Salta,66,Cachi,66014.0,4,0,0,0,37.23,19.3,37.39,19.86
soja,1944,1944/1945,Salta,66,Campo santo,66049.0,20,1,1,1000,17.48,34.4,33.46,20.64
soja,1944,1944/1945,Salta,66,MetÃ¡n,66112.0,21,0,0,0,22.31,34.6,38.71,19.28
soja,1944,1944/1945,Santa Fe,82,Rosario,82084.0,15,10,45,4500,32.67,28.1,35.18,21.65
soja,1944,1944/1945,Santa Fe,82,San Justo,82112.0,4,0,0,0,16.86,32.6,36.61,23.31
soja,1945,1945/1946,Corrientes,18,Esquina,18049.0,30,30,24,800,12.31,19.3,32.21,21.57
soja,1945,1945/1946,Corrientes,18,Goya,18070.0,2,2,2,1000,18.69,34.4,36.59,20.68
soja,1945,1945/1946,Misiones,54,CainguÃ¡s,54014.0,107,100,112,1120,14.84,17.9,41.71,22.78
soja,1945,1945/1946,Misiones,54,Candelaria,54021.0,29,27,40,1481,37.89,17.0,38.51,22.49
soja,1945,1945/1946,Misiones,54,IguazÃº,54063.0,100,0,0,0,34.24,17.2,32.12,20.2
soja,1945,1945/1946,Misiones,54,San Ignacio,54098.0,77,45,40,889,29.0,26.5,37.64,21.62
soja,1945,1945/1946,Misiones,54,San Javier,54105.0,20,18,27,1500,36.14,30.6,35.5,22.38
soja,1945,1945/1946,Misiones,54,San Pedro,54112.0,30,0,0,0,34.11,22.3,37.73,19.47
soja,1945,1945/1946,Santa Fe,82,Rosario,82084.0,5,5,23,4600,15.6,34.6,36.86,20.2
soja,1946,1946/1947,Misiones,54,CainguÃ¡s,54014.0,250,50,75,1500,36.78,23.7,43.18,18.63
soja,1946,1946/1947,Misiones,54,Candelaria,54021.0,350,100,120,1200,26.18,18.0,32.49,23.93
soja,1946,1946/1947,Misiones,54,IguazÃº,54063.0,420,120,144,1200,34.22,24.3,40.2,18.52
soja,1946,1946/1947,Misiones,54,San Ignacio,54098.0,230,80,96,1200,36.88,28.6,42.21,19.01
soja,1946,1946/1947,Misiones,54,San Javier,54105.0,280,80,104,1300,19.54,31.6,43.51,20.88
soja,1946,1946/1947,Misiones,54,San Pedro,54112.0,120,30,33,1100,13.3,24.2,34.13,23.19
soja,1947,1947/1948,Misiones,54,CainguÃ¡s,54014.0,220,80,96,1200,16.84,26.9,38.38,20.14
soja,1947,1947/1948,Misiones,54,Candelaria,54021.0,280,70,77,1100,22.81,20.3,32.52,22.61
soja,1947,1947/1948,Misiones,54,IguazÃº,54063.0,260,90,108,1200,34.54,27.9,37.99,22.06
soja,1947,1947/1948,Misiones,54,San Ignacio,54098.0,140,45,45,1000,35.82,34.7,33.51,21.83
soja,1947,1947/1948,Misiones,54,San Javier,54105.0,190,80,88,1100,10.21,16.0,42.05,23.07
soja,1947,1947/1948,Misiones,54,San Pedro,54112.0,85,45,63,1400,25.32,32.7,33.37,18.09
soja,1948,1948/1949,Misiones,54,ApÃ³stoles,54007.0,12,10,9,900,22.52,26.2,38.16,23.57
soja,1948,1948/1949,Misiones,54,CainguÃ¡s,54014.0,180,60,60,1000,16.66,20.0,38.25,22.98
soja,1948,1948/1949,Misiones,54,Candelaria,54021.0,250,60,60,1000,13.6,34.1,43.66,23.63
soja,1948,1948/1949,Misiones,54,IguazÃº,54063.0,220,80,80,1000,20.13,24.7,39.86,22.76
soja,1948,1948/1949,Misiones,54,San Ignacio,54098.0,110,60,60,1000,38.29,21.6,35.45,23.27
soja,1948,1948/1949,Misiones,54,San Javier,54105.0,150,70,63,900,19.7,18.6,34.89,19.22
soja,1948,1948/1949,Misiones,54,San Pedro,54112.0,70,30,30,1000,25.56,19.9,33.54,19.92
soja,1949,1949/1950,Misiones,54,ApÃ³stoles,54007.0,15,12,10,833,31.09,31.7,41.08,19.89
soja,1949,1949/1950,Misiones,54,CainguÃ¡s,54014.0,120,110,88,800,20.91,27.3,40.29,18.66
soja,1949,1949/1950,Misiones,54,Candelaria,54021.0,200,120,96,800,39.15,33.3,39.32,22.38
soja,1949,1949/1950,Misiones,54,IguazÃº,54063.0,80,50,40,800,38.87,19.6,32.49,18.82
soja,1949,1949/1950,Misiones,54,San Ignacio,54098.0,90,70,56,800,17.55,17.4,41.15,18.32
soja,1949,1949/1950,Misiones,54,San Javier,54105.0,220,160,128,800,24.92,15.1,39.7,22.65
soja,1949,1949/1950,Misiones,54,San Pedro,54112.0,40,30,24,800,19.03,25.2,43.57,23.43
soja,1950,1950/1951,Misiones,54,ApÃ³stoles,54007.0,10,8,4,500,18.55,35.0,39.05,22.58
soja,1950,1950/1951,Misiones,54,CainguÃ¡s,54014.0,100,90,72,800,11.11,28.9,35.65,22.95
soja,1950,1950/1951,Misiones,54,Candelaria,54021.0,300,270,216,800,28.29,21.2,36.58,21.57
soja,1950,1950/1951,Misiones,54,ConcepciÃ³n,54035.0,20,18,9,500,25.08,32.5,34.11,23.33
soja,1950,1950/1951,Misiones,54,IguazÃº,54063.0,60,54,43,796,11.54,30.6,40.67,20.98
soja,1950,1950/1951,Misiones,54,San Ignacio,54098.0,80,70,56,800,18.36,15.3,40.49,23.93
soja,1950,1950/1951,Misiones,54,San Javier,54105.0,350,315,252,800,37.25,31.3,34.41,18.62
soja,1950,1950/1951,Misiones,54,San Pedro,54112.0,30,27,22,815,17.19,21.0,33.9,22.86
soja,1951,1951/1952,Misiones,54,ApÃ³stoles,54007.0,10,5,6,1200,14.35,18.0,32.92,21.85
soja,1951,1951/1952,Misiones,54,CainguÃ¡s,54014.0,80,60,48,800,24.68,19.5,42.94,21.48
soja,1951,1951/1952,Misiones,54,Candelaria,54021.0,250,200,180,900,39.57,24.4,34.8,22.35
soja,1951,1951/1952,Misiones,54,ConcepciÃ³n,54035.0,25,20,16,800,17.26,23.5,36.13,23.04
soja,1951,1951/1952,Misiones,54,IguazÃº,54063.0,50,40,40,1000,30.16,20.8,35.37,23.18
soja,1951,1951/1952,Misiones,54,San Ignacio,54098.0,70,55,44,800,32.85,18.4,36.96,19.05
soja,1951,1951/1952,Misiones,54,San Javier,54105.0,400,320,320,1000,17.13,30.2,40.57,19.18
soja,1951,1951/1952,Misiones,54,San Pedro,54112.0,20,15,12,800,31.85,34.8,42.45,18.1
soja,1952,1952/1953,Misiones,54,ApÃ³stoles,54007.0,12,10,10,1000,21.03,30.6,34.19,18.79
soja,1952,1952/1953,Misiones,54,CainguÃ¡s,54014.0,150,125,100,800,28.97,20.9,40.24,19.58
soja,1952,1952/1953,Misiones,54,Candelaria,54021.0,400,350,420,1200,29.01,19.9,36.23,22.33
soja,1952,1952/1953,Misiones,54,ConcepciÃ³n,54035.0,20,15,15,1000,26.07,19.4,43.77,20.85
soja,1952,1952/1953,Misiones,54,IguazÃº,54063.0,100,90,40,444,12.71,17.7,35.59,22.55
soja,1952,1952/1953,Misiones,54,San Ignacio,54098.0,200,175,44,251,35.06,26.0,32.09,20.92
soja,1952,1952/1953,Misiones,54,San Javier,54105.0,800,750,320,427,19.62,27.1,38.19,21.33
soja,1952,1952/1953,Misiones,54,San Pedro,54112.0,55,50,12,240,15.6,29.1,33.81,18.67
soja,1953,1953/1954,Buenos Aires,6,Villarino,6875.0,4,4,2,500,11.22,28.6,32.53,22.66
soja,1953,1953/1954,Misiones,54,ApÃ³stoles,54007.0,10,5,5,1000,27.73,20.8,40.38,22.55
soja,1953,1953/1954,Misiones,54,CainguÃ¡s,54014.0,100,50,50,1000,30.33,21.6,40.79,19.85
soja,1953,1953/1954,Misiones,54,Candelaria,54021.0,300,200,200,1000,10.5,28.6,37.53,19.97
soja,1953,1953/1954,Misiones,54,ConcepciÃ³n,54035.0,10,5,5,1000,25.36,22.0,40.12,19.32
soja,1953,1953/1954,Misiones,54,IguazÃº,54063.0,80,40,40,1000,16.79,19.3,38.46,22.88
soja,1953,1953/1954,Misiones,54,San Ignacio,54098.0,100,50,50,1000,29.36,22.5,39.56,22.48
soja,1953,1953/1954,Misiones,54,San Javier,54105.0,450,250,250,1000,15.23,20.4,39.16,21.65
soja,1953,1953/1954,Misiones,54,San Pedro,54112.0,60,30,30,1000,30.73,16.8,39.99,19.43
soja,1954,1954/1955,Misiones,54,ApÃ³stoles,54007.0,16,8,8,1000,21.6,31.6,34.4,19.03
soja,1954,1954/1955,Misiones,54,CainguÃ¡s,54014.0,160,80,80,1000,38.1,32.1,35.22,18.3
soja,1954,1954/1955,Misiones,54,Candelaria,54021.0,200,100,100,1000,14.13,19.4,37.28,18.27
soja,1954,1954/1955,Misiones,54,ConcepciÃ³n,54035.0,10,5,5,1000,20.23,16.3,37.35,19.12
soja,1954,1954/1955,Misiones,54,IguazÃº,54063.0,100,50,50,1000,13.4,29.8,41.29,18.6
soja,1954,1954/1955,Misiones,54,San Ignacio,54098.0,100,50,50,1000,37.74,19.2,36.41,21.34
soja,1954,1954/1955,Misiones,54,San Javier,54105.0,300,150,150,1000,36.32,22.9,33.95,20.15
soja,1954,1954/1955,Misiones,54,San Pedro,54112.0,80,40,40,1000,17.74,16.3,35.02,20.67
soja,1955,1955/1956,Misiones,54,ApÃ³stoles,54007.0,20,10,10,1000,29.8,19.5,34.58,21.56
soja,1955,1955/1956,Misiones,54,CainguÃ¡s,54014.0,180,90,90,1000,34.52,30.9,40.78,21.95
soja,1955,1955/1956,Misiones,54,Candelaria,54021.0,220,110,110,1000,26.66,31.1,37.64,21.89
soja,1955,1955/1956,Misiones,54,ConcepciÃ³n,54035.0,10,5,5,1000,25.89,19.1,40.5,19.57
soja,1955,1955/1956,Misiones,54,IguazÃº,54063.0,100,50,50,1000,17.26,21.7,36.99,22.86
soja,1955,1955/1956,Misiones,54,San Ignacio,54098.0,120,60,60,1000,12.79,17.7,42.68,23.51
soja,1955,1955/1956,Misiones,54,San Javier,54105.0,300,150,150,1000,36.92,16.5,43.8,19.9
soja,1955,1955/1956,Misiones,54,San Pedro,54112.0,80,40,40,1000,37.01,34.8,40.04,18.1
soja,1956,1956/1957,Chaco,22,Comandante FernÃ¡ndez,22021.0,150,90,72,800,28.99,28.1,42.37,23.39
soja,1956,1956/1957,Chaco,22,General Belgrano,22049.0,100,50,45,900,20.17,25.8,38.1,23.54
soja,1956,1956/1957,Chaco,22,Independencia,22070.0,300,130,156,1200,20.48,30.3,43.22,18.31
soja,1956,1956/1957,Chaco,22,MaipÃº,22091.0,190,90,81,900,31.78,31.8,41.98,18.03
soja,1956,1956/1957,Chaco,22,Mayor Luis J. Fontana,22098.0,60,40,32,800,36.91,31.1,43.9,22.9
soja,1956,1956/1957,Chaco,22,9 de Julio,22105.0,30,0,0,0,36.61,15.3,39.48,19.81
soja,1956,1956/1957,Chaco,22,O'Higgins,22112.0,130,30,24,800,33.4,18.7,41.35,23.49
soja,1956,1956/1957,Chaco,22,Quitilipi,22133.0,400,280,280,1000,29.26,28.1,38.51,19.3
soja,1956,1956/1957,Chaco,22,25 de Mayo,22168.0,90,40,36,900,12.52,22.5,35.11,23.17
soja,1956,1956/1957,Misiones,54,ApÃ³stoles,54007.0,10,7,7,1000,14.85,34.6,36.26,18.41
soja,1956,1956/1957,Misiones,54,CainguÃ¡s,54014.0,100,50,50,1000,36.96,28.3,42.73,19.56
soja,1956,1956/1957,Misiones,54,Candelaria,54021.0,300,200,200,1000,28.19,34.1,32.67,23.84
soja,1956,1956/1957,Misiones,54,ConcepciÃ³n,54035.0,10,7,7,1000,10.28,19.0,39.1,19.39
soja,1956,1956/1957,Misiones,54,IguazÃº,54063.0,100,50,50,1000,13.04,32.3,36.47,18.8
soja,1956,1956/1957,Misiones,54,San Ignacio,54098.0,100,50,50,1000,29.91,21.4,36.64,23.14
soja,1956,1956/1957,Misiones,54,San Javier,54105.0,500,300,300,1000,10.15,34.8,42.61,18.71
soja,1956,1956/1957,Misiones,54,San Pedro,54112.0,70,40,40,1000,14.82,18.2,42.25,18.58
soja,1957,1957/1958,Chaco,22,General GÃ¼emes,22063.0,20,19,17,895,26.46,25.3,39.19,19.94
soja,1957,1957/1958,Chaco,22,MaipÃº,22091.0,50,48,46,958,30.76,30.9,35.28,21.81
soja,1957,1957/1958,Chaco,22,25 de Mayo,22168.0,20,19,18,947,29.56,23.7,37.71,22.26
soja,1957,1957/1958,Misiones,54,ApÃ³stoles,54007.0,20,10,10,1000,16.73,24.4,36.9,23.29
soja,1957,1957/1958,Misiones,54,CainguÃ¡s,54014.0,30,15,15,1000,31.37,34.7,36.24,21.25
soja,1957,1957/1958,Misiones,54,Candelaria,54021.0,130,70,70,1000,17.12,23.5,33.23,20.36
soja,1957,1957/1958,Misiones,54,ConcepciÃ³n,54035.0,12,6,6,1000,19.76,27.1,38.52,20.15
soja,1957,1957/1958,Misiones,54,El Dorado,54042.0,50,25,25,1000,32.39,16.1,35.62,23.08
soja,1957,1957/1958,Misiones,54,GuaranÃ­,54056.0,30,15,15,1000,29.49,31.8,39.93,22.34
soja,1957,1957/1958,Misiones,54,IguazÃº,54063.0,55,30,30,1000,35.48,28.0,35.83,23.43
soja,1957,1957/1958,Misiones,54,Leandro N. Alem,54070.0,110,60,60,1000,29.73,23.1,37.17,23.78
soja,1957,1957/1958,Misiones,54,Libertador General San MartÃ­n,54077.0,30,15,15,1000,27.05,15.3,32.63,19.8
soja,1957,1957/1958,Misiones,54,Montecarlo,54084.0,83,43,43,1000,12.81,26.8,43.91,21.18
soja,1957,1957/1958,Misiones,54,OberÃ¡,54091.0,120,60,60,1000,21.03,15.3,38.09,21.79
soja,1957,1957/1958,Misiones,54,San Ignacio,54098.0,100,50,50,1000,17.96,15.0,32.29,18.98
soja,1957,1957/1958,Misiones,54,San Javier,54105.0,180,100,100,1000,17.32,27.3,38.49,18.32
soja,1957,1957/1958,Misiones,54,San Pedro,54112.0,7,4,4,1000,39.19,18.8,42.44,23.21
soja,1958,1958/1959,Misiones,54,ApÃ³stoles,54007.0,22,19,17,895,21.79,18.8,41.27,21.21
soja,1958,1958/1959,Misiones,54,CainguÃ¡s,54014.0,30,27,27,1000,36.76,28.1,40.41,21.42
soja,1958,1958/1959,Misiones,54,Candelaria,54021.0,120,108,97,898,28.93,16.1,33.67,21.33
soja,1958,1958/1959,Misiones,54,ConcepciÃ³n,54035.0,12,10,9,900,33.84,21.3,39.89,22.53
soja,1958,1958/1959,Misiones,54,El Dorado,54042.0,50,45,45,1000,25.08,18.0,41.2,18.87
soja,1958,1958/1959,Misiones,54,GuaranÃ­,54056.0,30,27,27,1000,27.31,26.6,38.87,21.68
soja,1958,1958/1959,Misiones,54,IguazÃº,54063.0,55,50,50,1000,24.78,28.2,42.71,20.82
soja,1958,1958/1959,Misiones,54,Leandro N. Alem,54070.0,120,108,97,898,15.86,29.4,35.32,23.38
soja,1958,1958/1959,Misiones,54,Libertador General San MartÃ­n,54077.0,30,27,27,1000,31.67,20.1,34.91,21.12
soja,1958,1958/1959,Misiones,54,Montecarlo,54084.0,83,75,75,1000,18.42,16.8,42.43,23.66
soja,1958,1958/1959,Misiones,54,OberÃ¡,54091.0,120,108,108,1000,10.73,16.6,39.5,20.12
soja,1958,1958/1959,Misiones,54,San Ignacio,54098.0,100,90,90,1000,29.36,23.5,32.02,23.8
soja,1958,1958/1959,Misiones,54,San Javier,54105.0,160,144,130,903,15.31,33.9,36.24,23.25
soja,1958,1958/1959,Misiones,54,San Pedro,54112.0,7,6,6,1000,38.21,19.4,42.29,21.51
soja,1959,1959/1960,Misiones,54,ApÃ³stoles,54007.0,25,21,21,1000,38.62,20.1,32.33,20.12
